"_id,name,property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,accommodates,bedrooms,beds,number_of_reviews,bathrooms,price,cleaning_fee,extra_people,guests_included,review_scores,street,suburb,government_area,market,country,country_code,location_type,longitude,latitude,is_location_exact,availability_30,availability_60,availability_90,availability_365,host_id,host_url,host_name,host_location,host_response_time,host_thumbnail_url,host_picture_url,host_neighbourhood,host_response_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,host_listings_count,host_total_listings_count,host_verifications"
"10006546,Ribeira Charming Duplex,House,Entire home/apt,Real Bed,2,30,moderate,8,3,5,51,1.0,80,35,15,6,89,""Porto, Porto, Portugal"",Not Specified,""Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória"",Porto,Portugal,PT,Point,-8.61308,41.1413,False,28,47,74,239,51399391,https://www.airbnb.com/users/show/51399391,Ana&Gonçalo,""Porto, Porto District, Portugal"",within an hour,https://a0.muscache.com/im/pictures/fab79f25-2e10-4f0f-9711-663cb69dc7d8.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/fab79f25-2e10-4f0f-9711-663cb69dc7d8.jpg?aki_policy=profile_x_medium,Not Specified,100,False,True,True,3,3,""['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']"""
"10009999,Horto flat with small garden,Apartment,Entire home/apt,Real Bed,2,1125,flexible,4,1,2,0,1.0,317,187,0,1,0,""Rio de Janeiro, Rio de Janeiro, Brazil"",Jardim Botânico,Jardim Botânico,Rio De Janeiro,Brazil,BR,Point,-43.23074991429229,-22.966253551739655,True,0,0,0,0,1282196,https://www.airbnb.com/users/show/1282196,Ynaie,""Rio de Janeiro, State of Rio de Janeiro, Brazil"",Not Specified,https://a0.muscache.com/im/pictures/9681e3cc-4af1-4046-b294-2881dffb4ff8.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/9681e3cc-4af1-4046-b294-2881dffb4ff8.jpg?aki_policy=profile_x_medium,Jardim Botânico,Not Specified,False,True,False,1,1,""['email', 'phone', 'facebook']"""
"1001265,Ocean View Waikiki Marina w/prkg,Condominium,Entire home/apt,Real Bed,3,365,strict_14_with_grace_period,2,1,1,96,1.0,115,100,0,1,84,""Honolulu, HI, United States"",Oʻahu,Primary Urban Center,Oahu,United States,US,Point,-157.83919,21.28634,True,16,46,76,343,5448114,https://www.airbnb.com/users/show/5448114,David,""Honolulu, Hawaii, United States"",within an hour,https://a0.muscache.com/im/users/5448114/profile_pic/1363202219/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/5448114/profile_pic/1363202219/original.jpg?aki_policy=profile_x_medium,Waikiki,98,False,True,False,18,18,""['email', 'phone', 'reviews', 'kba']"""
"10021707,Private Room in Bushwick,Apartment,Private room,Real Bed,14,1125,flexible,1,1,1,1,1.5,40,Not mentioned,0,1,100,""Brooklyn, NY, United States"",Brooklyn,Bushwick,New York,United States,US,Point,-73.93615,40.69791,True,0,0,0,0,11275734,https://www.airbnb.com/users/show/11275734,Josh,""New York, New York, United States"",Not Specified,https://a0.muscache.com/im/users/11275734/profile_pic/1405792127/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/11275734/profile_pic/1405792127/original.jpg?aki_policy=profile_x_medium,Bushwick,Not Specified,False,True,True,1,1,""['email', 'phone', 'reviews', 'kba']"""
"10030955,Apt Linda Vista Lagoa - Rio,Apartment,Private room,Real Bed,1,1125,flexible,2,1,1,0,2.0,701,250,0,1,0,""Rio de Janeiro, Rio de Janeiro, Brazil"",Lagoa,Lagoa,Rio De Janeiro,Brazil,BR,Point,-43.205047082633435,-22.971950988341874,True,28,58,88,363,51496939,https://www.airbnb.com/users/show/51496939,Livia,BR,Not Specified,https://a0.muscache.com/im/pictures/b7911710-9088-451d-a27b-62ad2fc2eac0.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/b7911710-9088-451d-a27b-62ad2fc2eac0.jpg?aki_policy=profile_x_medium,Lagoa,Not Specified,False,True,False,1,1,""['email', 'phone', 'jumio', 'government_id']"""
"1003530,New York City - Upper West Side Apt,Apartment,Private room,Real Bed,12,360,strict_14_with_grace_period,2,1,1,70,1.0,135,135,0,1,94,""New York, NY, United States"",Manhattan,Upper West Side,New York,United States,US,Point,-73.96523,40.79962,False,0,0,0,93,454250,https://www.airbnb.com/users/show/454250,Greta,""New York, New York, United States"",within an hour,https://a0.muscache.com/im/pictures/f1022be4-e72a-4b35-b6d2-3d2736ddaff9.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/f1022be4-e72a-4b35-b6d2-3d2736ddaff9.jpg?aki_policy=profile_x_medium,Not Specified,100,True,True,True,3,3,""['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']"""
"10038496,Copacabana Apartment Posto 6,Apartment,Entire home/apt,Real Bed,3,75,strict_14_with_grace_period,4,1,3,70,2.0,119,150,40,3,98,""Rio de Janeiro, Rio de Janeiro, Brazil"",Copacabana,Copacabana,Rio De Janeiro,Brazil,BR,Point,-43.190849194463404,-22.984339360067814,False,7,19,33,118,51530266,https://www.airbnb.com/users/show/51530266,Ana Valéria,""Rio de Janeiro, State of Rio de Janeiro, Brazil"",within an hour,https://a0.muscache.com/im/pictures/8c7bb5fe-7b6d-4d03-a465-aae8971a87a0.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/8c7bb5fe-7b6d-4d03-a465-aae8971a87a0.jpg?aki_policy=profile_x_medium,Copacabana,100,True,True,True,2,2,""['email', 'phone', 'reviews', 'jumio', 'government_id']"""
"10047964,Charming Flat in Downtown Moda,House,Entire home/apt,Real Bed,2,1125,flexible,6,2,6,1,1.0,527,211,211,1,100,""Kadıköy, İstanbul, Turkey"",Moda,Kadikoy,Istanbul,Turkey,TR,Point,29.03133,40.98585,True,27,57,87,362,1241644,https://www.airbnb.com/users/show/1241644,Zeynep,""Istanbul, Istanbul, Turkey"",Not Specified,https://a0.muscache.com/im/users/1241644/profile_pic/1426581715/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1241644/profile_pic/1426581715/original.jpg?aki_policy=profile_x_medium,Moda,Not Specified,False,True,True,2,2,""['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']"""
"10051164,Catete's Colonial Big Hause Room B,House,Private room,Real Bed,2,1125,strict_14_with_grace_period,8,1,8,1,4.0,250,0,40,4,80,""Rio de Janeiro, Rio de Janeiro, Brazil"",Catete,Catete,Rio De Janeiro,Brazil,BR,Point,-43.18015675229857,-22.92638234778768,True,10,10,21,296,51326285,https://www.airbnb.com/users/show/51326285,Beatriz,""Rio de Janeiro, State of Rio de Janeiro, Brazil"",within an hour,https://a0.muscache.com/im/pictures/eb09c9cb-bc70-412f-80d9-47ed3ab104f4.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/eb09c9cb-bc70-412f-80d9-47ed3ab104f4.jpg?aki_policy=profile_x_medium,Catete,80,False,True,True,5,5,""['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']"""
"10057447,Modern Spacious 1 Bedroom Loft,Apartment,Entire home/apt,Real Bed,1,1125,flexible,4,1,2,0,1.0,50,Not mentioned,31,1,0,""Montréal, Québec, Canada"",Mile End,Le Plateau-Mont-Royal,Montreal,Canada,CA,Point,-73.59111,45.51889,True,0,0,0,0,51612949,https://www.airbnb.com/users/show/51612949,Konstantin,""Montreal, Quebec, Canada"",Not Specified,https://a0.muscache.com/im/pictures/beb6b50e-0a26-4b29-9837-d68c3eea413f.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/beb6b50e-0a26-4b29-9837-d68c3eea413f.jpg?aki_policy=profile_x_medium,Mile End,Not Specified,False,True,False,1,1,""['email', 'phone', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']"""
"10057826,Deluxe Loft Suite,Apartment,Entire home/apt,Real Bed,3,1125,strict_14_with_grace_period,4,0,2,5,1.0,205,Not mentioned,0,1,88,""Brooklyn, NY, United States"",Greenpoint,Greenpoint,New York,United States,US,Point,-73.94472,40.72778,True,30,31,31,243,47554473,https://www.airbnb.com/users/show/47554473,Mae,US,within a few hours,https://a0.muscache.com/im/pictures/c680ce22-d6ec-4b00-8ef3-b5b7fc0d76f2.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/c680ce22-d6ec-4b00-8ef3-b5b7fc0d76f2.jpg?aki_policy=profile_x_medium,Greenpoint,100,False,True,False,13,13,""['email', 'phone', 'google', 'reviews', 'jumio', 'government_id']"""
"10059244,Ligne verte - à 15 min de métro du centre ville.,Apartment,Entire home/apt,Real Bed,2,1125,moderate,2,0,1,0,1.0,43,Not mentioned,12,1,0,""Montréal, Québec, Canada"",Hochelaga-Maisonneuve,Mercier-Hochelaga-Maisonneuve,Montreal,Canada,CA,Point,-73.54949,45.54548,False,0,0,0,32,7140229,https://www.airbnb.com/users/show/7140229,Caro,""Montreal, Quebec, Canada"",within an hour,https://a0.muscache.com/im/pictures/user/c64773a6-da5f-4c1a-91fe-f17131e4473b.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/c64773a6-da5f-4c1a-91fe-f17131e4473b.jpg?aki_policy=profile_x_medium,Not Specified,100,False,True,False,1,1,""['email', 'phone', 'reviews', 'jumio', 'government_id']"""
"10059872,""Soho Cozy, Spacious and Convenient"",Apartment,Entire home/apt,Real Bed,4,20,flexible,3,1,2,3,1.0,699,Not mentioned,0,1,100,""Hong Kong, Hong Kong Island, Hong Kong"",Central & Western District,Central & Western,Hong Kong,Hong Kong,HK,Point,114.15027,22.28158,True,0,0,0,0,51624384,https://www.airbnb.com/users/show/51624384,Giovanni,""Hong Kong, Hong Kong"",Not Specified,https://a0.muscache.com/im/pictures/264b82a7-756f-4da8-b607-dc9759e2a10f.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/264b82a7-756f-4da8-b607-dc9759e2a10f.jpg?aki_policy=profile_x_medium,Soho,Not Specified,False,True,False,1,1,""['email', 'phone', 'reviews', 'jumio', 'government_id']"""
"10066928,3 chambres au coeur du Plateau,Apartment,Entire home/apt,Real Bed,1,1125,flexible,6,3,3,0,1.0,140,Not mentioned,0,1,0,""Montréal, Québec, Canada"",Le Plateau-Mont-Royal,Le Plateau-Mont-Royal,Montreal,Canada,CA,Point,-73.57383,45.52233,True,0,0,0,0,9036477,https://www.airbnb.com/users/show/9036477,Margaux,""Montreal, Quebec, Canada"",Not Specified,https://a0.muscache.com/im/users/9036477/profile_pic/1425247510/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/9036477/profile_pic/1425247510/original.jpg?aki_policy=profile_x_medium,Le Plateau,Not Specified,False,True,False,2,2,""['email', 'phone', 'reviews', 'work_email']"""
"10069642,Ótimo Apto proximo Parque Olimpico,Apartment,Entire home/apt,Real Bed,15,20,strict_14_with_grace_period,5,2,2,0,2.0,858,112,75,1,0,""Rio de Janeiro, Rio de Janeiro, Brazil"",Recreio dos Bandeirantes,Recreio dos Bandeirantes,Rio De Janeiro,Brazil,BR,Point,-43.4311123147628,-23.00035792660916,False,0,0,0,0,51670240,https://www.airbnb.com/users/show/51670240,Jonathan,""Resende, Rio de Janeiro, Brazil"",Not Specified,https://a0.muscache.com/im/pictures/9a6839d9-9bea-451b-961d-5965894b9b9a.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/9a6839d9-9bea-451b-961d-5965894b9b9a.jpg?aki_policy=profile_x_medium,Not Specified,Not Specified,False,True,False,1,1,""['email', 'phone', 'jumio', 'government_id']"""
